tweet,label
गांधी जी ने दावा किया कि सरकार कांग्रेस पार्टी होगी जबकि राहुल भी भाजपा को निशाना बना रहे थे.,1
देश के युवाओं ने अपना हृदय बोलना शुरू कर दिया है। देश के युवाओं ने रोजगार की मांग की है। மோடி सरकार का अंत निकट है।,1
योगी अयोध्या से चुनाव नहीं लड़ते थे। उन्हें राम मंदिर के मुख्य पुरोहित के विरोध का सामना करना पड़ता था।,1
"फिर उसने कहा, ""यह राज्य वैसा ही होगा जैसे बाबेल। अब तुम सब कुछ मानो।""",1
और सापा के मन में केवल एक जाति है और उनके हृदय अन्य जातियों के प्रति घृणा से भरे हैं।,1
अब आतंकवाद उभरा है जो उत्तर प्रदेश में निवास करता है,1
"लखनऊ में बोलते हुए, अलीलश यादव ने मतदान हाराफारी में भाजपा के अफवाहों को शामिल किया।",1
"एक देश में जहां मुसलमानों का बहुमत है, क्यों दंगे सिर्फ वहाँ हो रहे हैं? देखो क्यों राजनीतिक विश्लेषक ने कहा",1
आदमी पार्टी किसी भी वायदे से ऐसा कर सकती है क्योंकि इसके नेता चोर नहीं हैं और सार्वजनिक धन से पैसा नहीं कमाते। कोई अन्य पार्टी किसी भी वायदे से ऐसा नहीं कर सकती क्योंकि वे भ्रष्टाचार से छुटकारा नहीं पा सकते।,1
"जब दासता की बात आती है, तो इसे करो। मेरा लक्ष्य यह है कि जितनी अधिक लोग सम्भव हो सकें वे सभा में आ सकें।",1
"नहीं, क्यों प्रनाव राय ने खलेयनी से खलेयनी के झूठों के सत्य को साबित करने के लिए खलेयनी को गौरवान्वित करने के लिए जो बोझिल पैसा ले लिया था उसके बारे में चिंता की?",1
"प्रियंका को केवल डेम्बोमी के परिवार के सदस्य पर पैसे बर्बाद करने का आरोप लगाया गया था, जो चुनाव अभियान में उनके साथ शामिल थे।",1
जब लोग साक्षर होंगे तो वे भाजपा की राजनीति में शामिल नहीं होंगे। हम आशा करते हैं कि उनकी सरकार समाप्त होने के साथ ही अन्याय समाप्त हो जाएगा।,1
"मुवेर राना ने हिन्दुओं को चुनौती दी हैः ""हिन्दूओं के बच्चों को जाओ और Yogiraj को बनाओ. उन्हें देश छोड़ दें और दुनिया को नहीं. भाजपा के लिए मत दें और गरीब Yogi के शब्द को हिंदुओं के रूप में दिखाएं.""",1
"जब लोग कोरोना के खिलाफ अस्पताल में बीड ऑक्सीजन प्रदान करने के लिए लड़ रहे थे, मॉदी शाह योगी बंगाल अभियान में भाजपा के लिए मत मांग रहे थे. यह गलत नहीं है, यह सिर्फ शक्ति की भूख है. याद रखें",1
संस्कृति के भारतीय समृद्ध हो गए। संस्कृति के ठेकेदारों को दिल का दौरा न दो।,1
"कमल का फूल, सबसे बड़ा शाखा",1
नाथ सिंह ने कहा कि सापा की हालत इतनी बुरी हो गई है कि अखिलेश यादव अब अपने हाथ में लाल बर्तन के साथ घूम रहा है।,1
माया ने कहा कि बसपा सभी सीटों के लिए अकेले चल रहा है। उन्होंने कहा कि आपको यह समझना होगा कि बसपा के लिए मत देने की क्यों जरूरत है।,1
