,tweet
0,राहुल गांधी ने दावा करते हुए कहा कि सरकार बनेगी तो कांग्रेस पार्टी की ही बनेगी इस दौरान राहुल ने BJP पर भी निशाना साधा है
1,देश के युवा ने अपने दिल की बात बोलनी शुरू कर दी है देश का युवा रोजगार मांग रहा है। मोदी सरकार का अंत निकट है।
2,अच्छा हुआ योगी अयोध्या से चुनाव नहीं लड़े उन्हें विरोध झेलना पड़ता राम मंदिर के मुख्य पुजारी
3,में नेता ने फिर उगला जहर बोले फिर बाबर जैसा राज चलेगा सब्सक्राइब करें
4,और सपा के दिमाग मे केवल एक ही जाति है बाकी जातियों के लिए उनके दिलो दिमाग मे नफरत भरी हुई है।
5,अब आ गया आतंकवाद UP में कौन आबाद
6,लखनऊ में बोले अखिलेश यादव भाजपा अफवाहों के साथ वोटों की हेराफेरी में जुटी
7,देश में जहांजहां मुस्लिम बहुसंख्यक हैं दंगे सिर्फ वहीं क्यों होते हैं देखिए राजनीतिक विश्लेषक ने ऐसा क्यों कहा
8,आम आदमी पार्टी कोई भी वादा करके उसको पूरा कर सकती है क्योंकि उसके नेता चोर नही है और पब्लिक के पैसे से अपनी जायदाद नही बनाते। दूसरी कोई भी पार्टी वादा करके पूरा नही कर सकती क्योंकि वो भ्रष्टाचार से बाज़ नही आ सकते। चरण
9,
10,खैर जाने दो जब गुलामी ही करना है तो करो मेरा मकसद है ज्यादा से ज्यादा लोग असेम्बली पहुचे
11,है ना केजरीवाल के झूठ को सच साबित करने के लिए केजरीवाल का महिमामंडित करने के लिए प्रणव राय ने केजरीवाल से मोटा माल जो ले रखा चिंता किस बात की
12,देहरादून में प्रियंका ने फूंका चुनावी बिगुल देवभूमि से जोड़ा परिवार का नाता बीजेपी पर सिर्फ पैसा बर्बाद करने का लगाया आरोप।
13,ने कहा जिस समय लोग पढ़े लिखे होंगे तो बीजेपी के झांसे में नहीं फंसेंगे हमें उम्मीद है कि इनकी सरकार जाते ही अन्याय खत्म होगा
14,मुनव्वर राना ने हिन्दुओं को चेलेंज दिया है हिन्दुओं की संतानों जागो और योगीराज को बनाए रखो इसको देश ही नहीं दुनिया छोड़ने पर मजबूर करो वोट फॉर भाजपा इमरजेंसी से भी खराब योगी का कार्यकाल हिन्दुओ करके दिखाओ
15,जब जनता कोरोना से लड़ रही थी हॉस्पिटल में बेड़ ऑक्सिजन उपलब्ध करवाने थे तब मोदी शाह योगी बंगाल प्रचार में ओदीदी ओदीदी करके भाजपा के लिये वोट मांग रहे थेभुलना नही है ये सिर्फ सत्ता के लोभी है याद रखना
16,भारतीय संस्कृति की तो अर्थी निकल गई। संस्कृति के ठेकेदारो को कहीं दिल का दौरा न पड़ जाए।
17,कमल का फुल सबसे बड़ी भुल
18,राजनाथ सिंह ने कहा कि सपा की हालत इतनी खराब हो चुकी है कि अब अखिलेश यादव अपने हाथ में लाल पोटली लेकर घूम रहे हैं। जो डूबता है उसके लिए तीनके का सहारा ही काफी होता है।
19,मायावती ने कहा कि बसपा सभी सीटों पर अकेले चुनाव लड़ रही है उन्होंने कहा बसपा को वोट देना क्यों जरूरी है आपको ये समझना होगा
20,AAP पर बेहद गंभीर आरोप लगे हैं AAP की सोच पाकिस्तान जैसी पंजाब के ख़िलाफ साज़िश रची गई वोट से अपराधों का हिसाब करें PM मोदी
21,Assembly Election पांच राज्यों में भाजपा के एकमात्र मुस्लिम उम्मीदवार हैं अंतस खान कहा भाजपा कांग्रेस से कहीं अधिक धर्मनिरपेक्ष
22,सड़क हादसे में हो सकती है मेरी हत्या आजम खान के बेटे अब्दुल्ला का आरोप UP पुलिस के बाद लगा BJP से डर
23,यह ओवैसी का ज़र्फ़ है जो अब्दुल्लाह आजम के बेहूदा बयानबाजी के बावजूद बाप बेटों के खिलाफ कोई प्रत्यशी नहीं उतारा
24,यूपी में भाजपा नेताओं का बुरा हाल अब केशव मौर्य को महिलाओं ने चोरचोर कहकर दौड़ाया
25,का युपी में बंटाधार उत्तराखंड में उतार और गोवा के समुंदर में अंत होगा अब ये जनता ने तय कर लिया हैं
26,सुधा सिंह के निर्देशन में आगामी के दृष्टिगत थाना पनवाड़ी पुलिस टीम ने वांछित अभियुक्त को किया गिरफ्तार ।
27,चुनाव प्रचार जरूरी या जिंदगी क्या नेताओं के मन में कोरोना का डर नहीं के साथ लोगतंत्र में देखिए कोरोना के कहर के बीच कहांकहां उड़ी चुनाव आयोग के नियमों की धज्जियां
28,मुस्लिम वोट बैंक पर भाजपा की रणनीति पांचों राज्यों के चुनावों में मिलेंगे अल्पसंख्यकों को टिकट भाजपा अल्पसंख्यक मोर्चा के राष्ट्रीय अध्यक्ष जमाल सिद्दीकी ने कहाभाजपा देगी अल्पसंख्यक मोर्चा कार्यकर्ताओं को टिकट
29,Watch चलती कारचुनावी चर्चा जोरदार कार में सरकार अपर्णा यादव पर बोले ओपी राजभर BJP ने अपवित्र को पार्टी में शामिल किया देखें LIVE
30,Up कुशीनगर के विधानसभा में सपा और बीजेपी में भिड़ंत के बाद कई गाड़ियों के शीशे टूट गए है
31,नेताओं को रेवड़ी की तरह सरकार द्वारा बाटी जा रही में Z Z कैटेगरी सुरक्षा देना सत्ता दुरुपयोग का नग्न भोंडा दुरुपयोग
32,राजनीतिक लाभ के लिए पर ठीकरा फोडकर को जवाबदेही से बचाने कुप्रयास केन्द्रीय सत्ता का नग्न दुरूपयोग
33,बदतमीज़ी की हद हो गई जब देश के सबसे बड़े प्रदेश के मुख्यमंत्री योगी जी चुनाव प्रचार में बोले कि लड़कों की जोड़ी प्रदेश में दंगे फैलाने आ रही है
34,आज उत्तर प्रदेश में प्रथम चरण के चुनाव हैं समाचार चैनलों के अनुसार मतदाता दो तरह के हैं वोटर और मुस्लिम वोटर Vote for BJP
35,कल के दोस्त आज के दुश्मन नंबर रणजीत सिंह रावत ने बढ़ाई हरीश रावत की मुश्किलें
36,गरीबों पर महंगाई का डाका डालने जा रही है मोदीयोगी की सरकार हटाओ महंगाई भगाओ।
37,BJP से टिकट कटने के डर से भागने वालों को गठबंधन जिस तरह अपने मेहनती नेताओं का टिकट काट कर उन्हें घपाघप टिकट दे रही है। उस हिसाब से गठबंधन को भी झटके के लिए तैयार रहना चाहिए अगर मेहनत करने वाले नेता BJP में गए तो सारे किये कराए पर पानी फिर जाएगा।।
